hey how is it going,banter
I am here,banter
hi,banter
hello,banter
who are you,banter
y'all,banter
are you human,banter
howdy,banter
haps,banter
hey  ,banter
How are you?,banter
I am good,banter
thanks  ,banter
thanks you,banter
I am fine thank you,banter
yo,banter
you the man,banter
I need help,help
help me,help
anyone care,help
I am in trouble,help
anyone here,help
can anyone help,help
is there anyone there,help
I have a problem,help
need help fast,help
are you a bot,help
end this,help
I'd like a song,music
lets sing,music
send me music,music
send me song,music
music,music
worship,music
praise,music
free music,music
free song,music
download music,music
I would like the new album,music
music please,music
album please,music
share a song,music
what is this?,help
how do I use this platform,help
how does this work,help
how do I make this work,help
why does my company need this,wat
what is the value proposition,wat
how does this messaging platform work,wat
who are your competitors,wat
how much does this cost,wat
how much ,wat
do you have a freemium level,wat
is there a free trial ,wat
do you have trials available,wat
I would like the news,news
headline today,news
whats the new,news
whats happening in the world,news 
happening,news
whats happening in my neightborhood,news
what can you tell me ,news
what do you know,news
news,news
news,news
what is there to do around here,location
whats happening in the city,location
any events this weekend,location
register me for something fun,location
great restauraunts,location
need a hotel,location 
any conferences in the area,location
conferences,location
hotel,location
events,location
things to do,location
fun events,location
I really like this platform,product
this platform is awesome!,product
wow - love it!,product
register me for the event,location
any presentation events,location
I'd like to speak to a sales rep,product
schedule a discussion,product
sign me for more,product
I'd like to learn more,product
how do I learn more  ,product
seminar,location
training ,location
good bye,close
thanks,close
thank you,close
thanks for your time,close
bye ,close
bye bye,close
see ya,close
okie dokie,close
sign me up,product
bon jour,banter
au voir,close
g'bye,close
bye,close
what are your features and functions,product
why is this better than the competition,product
what is you value prop,product
do you code,banter
how much do you make?,banter
do you like working here?,banter
are you glad that you're here?,banter
where do you live?,banter
where do you come from?,banter
how old are you?,banter
what is you name,banter
whoa re you,banter
need instructions,help
how do i find the docs,product
is there documentation for this?,product
i need help with this,help
help me register,help
i am interested in registering for that event,location
how do i order a product,product
product,product
i would like to buy that product,product
what is your price schedule,product
I would like a price please,product
hi can you give me a price on that product,product
price,product
tell me about a product I can buy,product
how do I buy this service,product
what is this product,product
how do I get this product,product
how does this product work,product
need to send a notification,sms
notify please,sms
sms,sms
alert,sms
send a message,sms
message,sms
text,sms
911,sms
emergency,sms
post to blockchain,blockchain
post  ,blockchain
record,blockchain 
need to record,blockchain
create a record,blockchain
post this,blockchain
save this,blockchain
